attack_type,attempts,blocked,block_rate,note
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
replay_st,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
forged_auth,1,1,1.00000000,
